model,device,dtype,batch_size,avg_epoch_time_s,inference_time_s,vram_usage_mb,status
4_UltraComplexCNN,cuda,float32,32,11.192333857218424,0.4140007495880127,915.6279296875,Success
4_UltraComplexCNN,cuda,float32,64,6.059665679931641,0.3040008544921875,917.764892578125,Success
4_UltraComplexCNN,cuda,float32,128,4.967667579650879,0.27500104904174805,1259.34814453125,Success
4_UltraComplexCNN,cuda,float32,256,4.528667132059733,0.26400065422058105,1482.66650390625,Success
4_UltraComplexCNN,cuda,float16,32,12.183000087738037,0.35700082778930664,504.684814453125,Success
4_UltraComplexCNN,cuda,float16,64,6.188666741053264,0.2779994010925293,521.888916015625,Success
4_UltraComplexCNN,cuda,float16,128,5.054000775019328,0.2310011386871338,613.82470703125,Success
4_UltraComplexCNN,cuda,float16,256,4.342000325520833,0.22099924087524414,768.6455078125,Success
4_UltraComplexCNN,cuda,float64,32,74.32933354377747,0.4030027389526367,1715.615478515625,Success
4_UltraComplexCNN,cuda,float64,64,60.04133359591166,0.3549985885620117,1894.056396484375,Success
4_UltraComplexCNN,cuda,float64,128,58.718000173568726,0.31800127029418945,2210.492919921875,Success
4_UltraComplexCNN,cuda,float64,256,56.289000511169434,0.30700016021728516,2896.724365234375,Success
